Date,AAL,AGO,ALLY,AMD,AMGN,AMKR,APA,ARW,BA,C,CAH,F,GS,JPM,MAR,MS,WFC
2020-06-01,18.59000015258789,28.03074073791504,21.367938995361328,53.099998474121094,212.4315643310547,12.370871543884277,15.730693817138672,76.08000183105469,205.42999267578125,54.31402587890625,52.74946975708008,7.146571159362793,209.19580078125,104.13581848144531,107.76171112060547,46.51346969604492,30.45823097229004
2020-06-08,16.739999771118164,25.881908416748047,19.291549682617188,53.5,205.1173858642578,11.602006912231445,13.479257583618164,66.19999694824219,189.50999450683594,48.21453094482422,48.715206146240234,6.289761066436768,193.7019500732422,93.50035858154297,92.0905532836914,43.46140670776367,26.89980125427246
2020-06-15,16.0,23.8577880859375,18.130659103393555,54.22999954223633,224.69720458984375,11.641435623168945,13.684823036193848,66.23999786376953,187.02000427246094,48.83279037475586,49.562583923339844,6.065822601318359,193.55795288085938,91.57174682617188,89.51528930664062,44.07182312011719,26.543960571289062
2020-06-22,12.380000114440918,22.495580673217773,17.7908878326416,50.099998474121094,219.1809539794922,11.621721267700195,12.970235824584961,65.16000366210938,170.00999450683594,45.750755310058594,46.559906005859375,5.754255294799805,181.61598205566406,86.68466186523438,80.79134368896484,44.18450927734375,24.370431900024414
2020-06-29,12.5,22.975231170654297,18.36661148071289,52.34000015258789,243.09091186523438,12.094870567321777,12.980023384094238,66.47000122070312,180.80999755859375,46.645835876464844,47.711238861083984,5.890566349029541,189.49729919433594,86.75021362304688,87.63874816894531,44.87944412231445,24.370431900024414
2020-07-06,11.9399995803833,22.102270126342773,18.989530563354492,55.880001068115234,234.4306182861328,12.016012191772461,12.44163703918457,66.12000274658203,178.44000244140625,48.58364486694336,45.89300537109375,5.939248085021973,197.3306427001953,91.00823974609375,88.34744262695312,46.767032623291016,24.49545669555664
2020-07-13,11.90999984741211,22.1886043548584,20.093791961669922,55.040000915527344,243.29803466796875,11.986438751220703,13.009390830993652,68.04000091552734,175.66000366210938,46.34131622314453,49.39820861816406,6.62080192565918,202.9464569091797,92.79493713378906,91.3119888305664,49.218074798583984,23.99535369873047
2020-07-20,11.390000343322754,22.533952713012695,19.989971160888672,69.4000015258789,233.4328155517578,11.907581329345703,13.900176048278809,67.3499984741211,173.75999450683594,47.67932891845703,52.5315055847168,6.69869327545166,193.40435791015625,92.90837097167969,87.33929443359375,47.1238899230957,25.255229949951172
2020-07-27,11.119999885559082,20.94151496887207,18.970653533935547,77.43000030517578,230.31700134277344,13.40588665008545,15.053566932678223,71.62000274658203,158.0,46.14753723144531,50.78355026245117,6.435809135437012,190.03489685058594,91.3580093383789,83.67603302001953,45.90306091308594,23.331756591796875
2020-08-03,13.029999732971191,22.1886043548584,20.446664810180664,84.8499984741211,226.57049560546875,12.834165573120117,15.239897727966309,74.19999694824219,170.02000427246094,48.581634521484375,48.886844635009766,6.679220676422119,199.93212890625,93.94824981689453,93.60775756835938,47.612937927246094,24.110761642456055
